model_name,dataset_name,accuracy,duration_seconds,confidence_interval_low,confidence_interval_high,number_of_executions,model
Mistral Large 2411,Ctf,73.33,11.05,55.55,85.82,3,Mistral Large 2411
Mistral: Mistral Small 3.1 24B,Ctf,66.67,1.38,48.78,80.77,3,Mistral Small 3.1
OpenAI: GPT-4o,Honeypots,83.33,5.77,66.44,92.66,3,GPT-4o
OpenAI: GPT-4o-mini,Honeypots,90.0,1.29,74.38,96.54,3,GPT-4o Mini
Anthropic: Claude 3.7 Sonnet,Honeypots,100.0,2.83,88.65,100.0,3,Claude 3.7 Sonnet
Anthropic: Claude 3.5 Haiku,Honeypots,90.0,1.88,74.38,96.54,3,Claude 3.5 Haiku
Google: Gemini 2.5 Pro,Honeypots,96.67,24.98,83.33,99.41,3,Gemini 2.5 Pro
Google: Gemini 2.0 Flash,Honeypots,100.0,1.74,88.65,100.0,3,Gemini 2.0 Flash
xAI: Grok 3 Beta,Honeypots,83.33,3.25,66.44,92.66,3,Grok 3
xAI: Grok 3 Mini Beta,Honeypots,83.33,13.81,66.44,92.66,3,Grok 3 Mini
Mistral Large 2411,Honeypots,73.33,5.47,55.55,85.82,3,Mistral Large 2411
Mistral: Mistral Small 3.1 24B,Honeypots,76.67,2.98,59.07,88.21,3,Mistral Small 3.1
OpenAI: GPT-4o,Secqa V1,100.0,5.49,98.85,100.0,3,GPT-4o
OpenAI: GPT-4o-mini,Secqa V1,99.09,9.03,97.36,99.69,3,GPT-4o Mini
Anthropic: Claude 3.7 Sonnet,Secqa V1,99.7,8.06,98.3,99.95,3,Claude 3.7 Sonnet
Anthropic: Claude 3.5 Haiku,Secqa V1,99.7,6.62,98.3,99.95,3,Claude 3.5 Haiku
Google: Gemini 2.5 Pro,Secqa V1,98.79,59.5,96.93,99.53,3,Gemini 2.5 Pro
Google: Gemini 2.0 Flash,Secqa V1,99.7,4.85,98.3,99.95,3,Gemini 2.0 Flash
xAI: Grok 3 Beta,Secqa V1,99.7,8.21,98.3,99.95,3,Grok 3
xAI: Grok 3 Mini Beta,Secqa V1,100.0,16.23,98.85,100.0,3,Grok 3 Mini
Mistral Large 2411,Secqa V1,99.39,8.69,97.82,99.83,3,Mistral Large 2411
Mistral: Mistral Small 3.1 24B,Secqa V1,99.7,11.72,98.3,99.95,3,Mistral Small 3.1
OpenAI: GPT-4o,Secqa V2,97.67,4.15,95.26,98.87,3,GPT-4o
OpenAI: GPT-4o-mini,Secqa V2,97.0,5.35,94.4,98.41,3,GPT-4o Mini
Anthropic: Claude 3.7 Sonnet,Secqa V2,99.33,14.05,97.6,99.82,3,Claude 3.7 Sonnet
Anthropic: Claude 3.5 Haiku,Secqa V2,98.67,5.39,96.62,99.48,3,Claude 3.5 Haiku
Google: Gemini 2.5 Pro,Secqa V2,95.0,60.14,91.92,96.95,3,Gemini 2.5 Pro
Google: Gemini 2.0 Flash,Secqa V2,100.0,3.73,98.74,100.0,3,Gemini 2.0 Flash
xAI: Grok 3 Beta,Secqa V2,98.0,8.61,95.71,99.08,3,Grok 3
xAI: Grok 3 Mini Beta,Secqa V2,96.0,20.52,93.14,97.7,3,Grok 3 Mini
Mistral Large 2411,Secqa V2,97.67,25.45,95.26,98.87,3,Mistral Large 2411
Mistral: Mistral Small 3.1 24B,Secqa V2,96.67,7.95,93.97,98.18,3,Mistral Small 3.1
OpenAI: GPT-4o,Secmmlu,85.63,7.41,81.56,88.93,3,GPT-4o
OpenAI: GPT-4o-mini,Secmmlu,85.63,5.96,81.56,88.93,3,GPT-4o Mini
Anthropic: Claude 3.7 Sonnet,Secmmlu,85.34,10.18,81.24,88.67,3,Claude 3.7 Sonnet
Anthropic: Claude 3.5 Haiku,Secmmlu,81.61,5.79,77.2,85.33,3,Claude 3.5 Haiku
Google: Gemini 2.5 Pro,Secmmlu,87.36,92.96,83.45,90.44,3,Gemini 2.5 Pro
Google: Gemini 2.0 Flash,Secmmlu,83.05,3.13,78.75,86.62,3,Gemini 2.0 Flash
xAI: Grok 3 Beta,Secmmlu,85.92,11.88,81.87,89.18,3,Grok 3
xAI: Grok 3 Mini Beta,Secmmlu,81.61,87.33,77.2,85.33,3,Grok 3 Mini
Mistral Large 2411,Secmmlu,81.32,23.7,76.89,85.07,3,Mistral Large 2411
Mistral: Mistral Small 3.1 24B,Secmmlu,83.05,5.32,78.75,86.62,3,Mistral Small 3.1
OpenAI: GPT-4o,Cyquiz,82.28,5.29,78.11,85.79,3,GPT-4o
OpenAI: GPT-4o-mini,Cyquiz,83.07,4.5,78.96,86.51,3,GPT-4o Mini
Anthropic: Claude 3.7 Sonnet,Cyquiz,81.22,10.74,76.97,84.83,3,Claude 3.7 Sonnet
Anthropic: Claude 3.5 Haiku,Cyquiz,82.28,6.29,78.11,85.79,3,Claude 3.5 Haiku
Google: Gemini 2.5 Pro,Cyquiz,80.42,68.69,76.13,84.11,3,Gemini 2.5 Pro
Google: Gemini 2.0 Flash,Cyquiz,81.75,3.21,77.54,85.31,3,Gemini 2.0 Flash
xAI: Grok 3 Beta,Cyquiz,83.86,7.18,79.82,87.23,3,Grok 3
xAI: Grok 3 Mini Beta,Cyquiz,83.33,27.14,79.24,86.75,3,Grok 3 Mini
Mistral Large 2411,Cyquiz,80.16,21.1,75.84,83.87,3,Mistral Large 2411
Mistral: Mistral Small 3.1 24B,Cyquiz,80.95,11.41,76.69,84.59,3,Mistral Small 3.1
